"Wikipedia name
 in English","Wikipedia name
in native language",Language,"Script (ISO
15924 code)","WP
code","Active
users",Launch date,Logo
Acehnese Wikipedia,Wikipèdia bahsa Acèh,Acehnese,Latn,ace,31,"<span data-sort-value=""000000002009-08-12-0000"" style=""white-space:nowrap"">12 August 2009",
Sicilian Wikipedia,Wikipedia ’n sicilianu,Sicilian,Latn,scn,30,"<span data-sort-value=""000000002004-10-05-0000"" style=""white-space:nowrap"">5 October 2004",
Sindhi Wikipedia,"سنڌي وڪيپيڊيا
(Sindhi wikipidia)",Sindhi,Arab,sd,30,"<span data-sort-value=""000000002006-02-06-0000"" style=""white-space:nowrap"">6 February 2006",
Twi Wikipedia,Wikipidia Twi,Twi,Latn,tw,30,Unknown date,
Santali Wikipedia,"ᱥᱟᱱᱛᱟᱲᱤ ᱣᱤᱠᱤᱯᱤᱰᱤᱭᱟ
(Santaṛi wikipiḍiya)",Santali,Olck,sat,29,"<span data-sort-value=""000000002018-08-02-0000"" style=""white-space:nowrap"">2 August 2018",
Volapük Wikipedia,Vükiped Volapükik,Volapük,Latn,vo,29,"<span data-sort-value=""000000002004-01-27-0000"" style=""white-space:nowrap"">27 January 2004",
Yakut Wikipedia,"Сахалыы Бикипиэдьийэ
(Sahalyy Bikipieçje)",Yakut,Cyrl,sah,29,"<span data-sort-value=""000000002008-05-26-0000"" style=""white-space:nowrap"">26 May 2008",
Dagbani Wikipedia,Wikipidia Dagbani,Dagbani,Latn,dag,28,Unknown date,
Ossetian Wikipedia,"Ирон Википеди
(Iron Vikipedi)",Ossetian,Cyrl,os,28,"<span data-sort-value=""000000002005-02-28-0000"" style=""white-space:nowrap"">28 February 2005",
Piedmontese Wikipedia,Wikipedia an piemontèisa,Piedmontese,Latn,pms,28,"<span data-sort-value=""000000002006-03-27-0000"" style=""white-space:nowrap"">27 March 2006",
Betawi Wikipedia,Wikipédi basa Betawi,Betawi,Latn,bew,27,Unknown date,
Gun Wikipedia,Gungbe Wikipedia,Gun,Latn,guw,27,Unknown date,
Interlingue Wikipedia,Wikipedia in Interlingue,Interlingue,Latn,ie,27,Unknown date,
Kotava Wikipedia,Wikipedia men Kotava,Kotava,Latn,avk,27,"<span data-sort-value=""000000002020-12-29-0000"" style=""white-space:nowrap"">29 December 2020",
Wayuu Wikipedia,Wikipeetia süka wayuunaiki,Wayuu,Latn,guc,27,Unknown date,
Banyumasan Wikipedia,Wikipédia basa Banyumasan,Banyumasan,Latn,map-bms,26,"<span data-sort-value=""000000002005-01-01-0000"" style=""white-space:nowrap"">2005 (unknown date)",
Corsican Wikipedia,Corsipedia or Wikipedia in lingua corsa,Corsican,Latn,co,26,"<span data-sort-value=""000000002003-12-09-0000"" style=""white-space:nowrap"">9 December 2003",
Igala Wikipedia,Wikipídiya Igala,Igala,Latn,igl,26,Unknown date,
Scottish Gaelic Wikipedia,Uicipeid na Gàidhlig,Scottish Gaelic,Latn,gd,26,"<span data-sort-value=""000000002003-09-01-0000"" style=""white-space:nowrap"">September 2003 (unknown day)",
Upper Sorbian Wikipedia,Hornjoserbska wikipedija,Upper Sorbian,Latn,hsb,26,"<span data-sort-value=""000000002006-10-02-0000"" style=""white-space:nowrap"">2 October 2006",
Uyghur Wikipedia,"UEY: ئۇيغۇرچە ۋىكىپېدىيە
(ULY: Uyghur wikipëdiye)
(UYY: Uyghur vikipediyə)
(UKY: Уйғур википедийә)",Uyghur,Arab,ug,26,Unknown date,
Zazaki Wikipedia,Wikipediyay Zazaki,Zaza,Latn,diq,26,Unknown date,
Dutch Low Saxon Wikipedia,Nedersaksische Wikipedie,Dutch Low Saxon,Latn,nds-nl,25,"<span data-sort-value=""000000002006-03-24-0000"" style=""white-space:nowrap"">24 March 2006",
Emilian–Romagnol Wikipedia,Emiliàn e rumagnòl Vichipedèia,Emilian–Romagnol,Latn,eml,25,Unknown date,
Ladin Wikipedia,Wikipedia per ladin,Ladin,Latn,lld,25,"<span data-sort-value=""000000002020-08-17-0000"" style=""white-space:nowrap"">17 August 2020",
Lao Wikipedia,"ວິກິພີເດຍ ພາສາລາວ
(Wi ki phī dīa phasa lao)",Lao,Laoo,lo,25,Unknown date,
Lingua Franca Nova Wikipedia,Vicipedia en lingua franca nova,Lingua Franca Nova,Latn,lfn,25,Unknown date,
Rusyn Wikipedia,"Русиньска Вікіпедія
(Rusîn'ska Vikipedija)",Rusyn,Cyrl,rue,25,"<span data-sort-value=""000000002011-01-23-0000"" style=""white-space:nowrap"">23 January 2011",
Cree Wikipedia,"ᐎᑭᐱᑎᔭ ᓀᐦᐃᔭᐍᐏᐣ
(Wikipitiya nēhiyawēwin)",Cree,Cans,cr,24,Unknown date,
Guarani Wikipedia,Vikipetã avañe'ẽme,Guarani,Latn,gn,24,Unknown date,
Ilocano Wikipedia,Wikipedia nga Ilokano,Ilocano,Latn,ilo,24,"<span data-sort-value=""000000002005-01-01-0000"" style=""white-space:nowrap"">2005 (unknown date)",
North Frisian Wikipedia,Nordfriisk Wikipedia,North Frisian,Latn,frr,24,Unknown date,
Cornish Wikipedia,Wikipedya Kernowek,Cornish,Latn,kw,23,Unknown date,
Lower Sorbian Wikipedia,Dolnoserbska wikipedija,Lower Sorbian,Latn,dsb,23,Unknown date,
Maldivian Wikipedia,"ދިވެހި ވިކިޕީޑިޔާ
(Dhivehi vikipīḍiyā)",Maldivian,Thaa,dv,23,"<span data-sort-value=""000000002004-08-28-0000"" style=""white-space:nowrap"">28 August 2004",
Oromo Wikipedia,Oromoo Wikipedia,Oromo,Latn,om,23,Unknown date,
Sardinian Wikipedia,Wikipedia in sardu,Sardinian,Latn,sc,23,"<span data-sort-value=""000000002004-04-01-0000"" style=""white-space:nowrap"">April 2004 (unknown day)",
Tswana Wikipedia,Wikipedia Setswana,Tswana,Latn,tn,23,Unknown date,
Western Armenian Wikipedia,"Արեւմտահայերէն Ուիքիփետիա
(Arevmdahayerēn Uikʿipʿetia)",Western Armenian,Armn,hyw,23,"<span data-sort-value=""000000002019-04-01-0000"" style=""white-space:nowrap"">1 April 2019",
Abkhaz Wikipedia,"Аԥсуа авикипедиа
(Apsua avikipedia)",Abkhaz,Cyrl,ab,22,Unknown date,
Cherokee Wikipedia,"ᏫᎩᏇᏗᏯ ᏣᎳᎩ
(Wigiquediya tsalagi)",Cherokee,Cher,chr,22,"<span data-sort-value=""000000002004-05-01-0000"" style=""white-space:nowrap"">May 2004 (unknown day)",
Kapampangan Wikipedia,Wikipediang Kapampángan,Kapampangan,Latn,pam,22,"<span data-sort-value=""000000002005-01-01-0000"" style=""white-space:nowrap"">2005 (unknown date)",
Tulu Wikipedia,"ತುಳು ವಿಕಿಪೀಡಿಯ
(Tuḷu vikipīḍiya)",Tulu,Knda,tcy,22,"<span data-sort-value=""000000002016-08-06-0000"" style=""white-space:nowrap"">6 August 2016",
Veps Wikipedia,Vepsän Vikipedii,Veps,Latn,vep,22,"<span data-sort-value=""000000002012-02-01-0000"" style=""white-space:nowrap"">1 February 2012",
Võro Wikipedia,Võrokeeline Vikipeediä,Võro,Latn,fiu-vro,22,"<span data-sort-value=""000000002005-01-01-0000"" style=""white-space:nowrap"">2005 (unknown date)",
Xhosa Wikipedia,Wikipedia isiXhosa,Xhosa,Latn,xh,22,Unknown date,
Ghanaian Pidgin Wikipedia,Ghanaian Pidgin Wikipedia,Ghanaian Pidgin English,Latn,gpe,21,Unknown date,
Gilaki Wikipedia,"گیلکی ویکیپدیاٰ
(Giləki vikipөdiya)",Gilaki,Arab,glk,21,"<span data-sort-value=""000000002006-01-01-0000"" style=""white-space:nowrap"">2006 (unknown date)",
Limburgish Wikipedia,Limburgse Wikipedia,Limburgish,Latn,li,21,"<span data-sort-value=""000000002004-08-01-0000"" style=""white-space:nowrap"">August 2004 (unknown day)",
Maithili Wikipedia,"मैथिली विकिपिडिया
(Maithilī vikipiḍiyā)",Maithili,Deva,mai,21,"<span data-sort-value=""000000002014-11-06-0000"" style=""white-space:nowrap"">6 November 2014",
Nigerian Pidgin Wikipedia,Naijá Wikipedia,Nigerian Pidgin,Latn,pcm,21,Unknown date,
Old Church Slavonic Wikipedia,"Словѣньска Википєдїꙗ
(Slověnĭska Vikipedija)",Old Church Slavonic,Cyrs,cu,21,Unknown date,
Picard Wikipedia,Wikipédia in lingue picarde,Picard,Latn,pcd,21,Unknown date,
Talysh Wikipedia,Tolyšə Vikipedijə,Talysh,Latn,tly,21,"<span data-sort-value=""000000002023-08-30-0000"" style=""white-space:nowrap"">30 August 2023",
West Flemish Wikipedia,West-Vlamse Wikipedia,West Flemish,Latn,vls,21,Unknown date,
Avar Wikipedia,"Авар Википедия
(Avar Vikipedija)",Avar,Cyrl,av,20,Unknown date,
Franco-Provençal Wikipedia,Vouiquipèdia en arpetan,Franco-Provençal,Latn,frp,20,"<span data-sort-value=""000000002006-03-24-0000"" style=""white-space:nowrap"">24 March 2006",
Gan Wikipedia,"Traditional Chinese: 贛語維基百科,
simplified Chinese: 赣语维基百科
(Pha̍k-oa-chhi: Gon wéijī bǎikē)",Gan Chinese,Hans/Hant,gan,20,"<span data-sort-value=""000000002008-05-27-0000"" style=""white-space:nowrap"">27 May 2008",
Kashmiri Wikipedia,"کٲشُر وِکیٖپیٖڈیا
(Kạ̄śur vikipīḍiyā)",Kashmiri,Arab,ks,20,"<span data-sort-value=""000000002004-03-25-0000"" style=""white-space:nowrap"">25 March 2004",
Ligurian Wikipedia,Wikipedia Ligure,Ligurian,Latn,lij,20,Unknown date,
Samogitian Wikipedia,Žemaitėška Vikipedėjė,Samogitian,Latn,bat-smg,20,"<span data-sort-value=""000000002006-03-25-0000"" style=""white-space:nowrap"">25 March 2006",
Walloon Wikipedia,Wikipedia e walon,Walloon,Latn,wa,20,"<span data-sort-value=""000000002003-07-20-0000"" style=""white-space:nowrap"">20 July 2003",
Friulian Wikipedia,Vichipedie par furlan,Friulian,Latn,fur,19,"<span data-sort-value=""000000002005-01-25-0000"" style=""white-space:nowrap"">25 January 2005",
Fula Wikipedia,Wikipedia Fulfude,Fula,Latn,ff,19,Unknown date,
Gothic Wikipedia,"𐌲𐌿𐍄𐌹𐍃𐌺 𐍅𐌹𐌺𐌹𐍀𐌰𐌹𐌳𐌾𐌰
(Gutisk wikipaidja)",Gothic,Goth,got,19,Unknown date,
Kabyle Wikipedia,Wikipedia taqbaylit,Kabyle,Latn,kab,19,Unknown date,
Neapolitan Wikipedia,Wikipedia napulitana,Neapolitan,Latn,nap,19,"<span data-sort-value=""000000002006-12-21-0000"" style=""white-space:nowrap"">21 December 2006",
Papiamento Wikipedia,Wikipedia na papiamentu,Papiamento,Latn,pap,19,Unknown date,
Romansh Wikipedia,Vichipedia rumantscha,Romansh,Latn,rm,19,Unknown date,
Swazi Wikipedia,Wikipedia siSwati,Swazi,Latn,ss,19,Unknown date,
Tibetan Wikipedia,"བོད་ཡིག་གི་ཝེ་ཁེ་རིག་མཛོད
(Wylie: Bod yig gi we khe rig mdzod)",Lhasa Tibetan,Tibt,bo,19,Unknown date,
Tumbuka Wikipedia,Wikipedia Chitumbuka,Tumbuka,Latn,tum,19,Unknown date,
Hawaiian Wikipedia,Hawai‘i Wikipikia,Hawaiian,Latn,haw,18,Unknown date,
Shilha Wikipedia,"Wikipidya taclḥiyt
(ⵡⵉⴽⵉⵒⵉⴷⵢⴰ ⵜⴰⵛⵍⵃⵉⵜ)",Shilha,Latn/Tfng,shi,18,"<span data-sort-value=""000000002021-06-30-0000"" style=""white-space:nowrap"">30 June 2021",
Shona Wikipedia,Wikipedhiya chiShona,Shona,Latn,sn,18,Unknown date,
Tyap Wikipedia,Wukipedia nTyap,Tyap,Latn,kcg,18,Unknown date,
Awadhi Wikipedia,"अवधी विकिपीडिया
(Avadhī vikipīḍiyā)",Awadhi,Deva,awa,17,"<span data-sort-value=""000000002020-05-21-0000"" style=""white-space:nowrap"">21 May 2020",
Eastern Min Wikipedia,"Bàng-uâ-cê: Bànguâpedia
or Mìng-dĕ̤ng-ngṳ̄ Wikipedia",Eastern Min,Latn,cdo,17,"<span data-sort-value=""000000002006-09-30-0000"" style=""white-space:nowrap"">30 September 2006",
Erzya Wikipedia,"Эрзянь Википедия
(Erzäń Vikipedija)",Erzya,Cyrl,myv,17,"<span data-sort-value=""000000002008-05-26-0000"" style=""white-space:nowrap"">26 May 2008",
Māori Wikipedia,Wikipedia Māori,Māori,Latn,mi,17,"<span data-sort-value=""000000002003-01-01-0000"" style=""white-space:nowrap"">2003 (unknown date)",
Meitei Wikipedia,"ꯃꯤꯇꯩꯂꯣꯟ ꯋꯤꯀꯤꯄꯦꯗꯤꯌꯥ
(Meeteilon weekeepaydeeya)",Meitei,Mtei,mni,17,"<span data-sort-value=""000000002021-02-22-0000"" style=""white-space:nowrap"">22 February 2021",
Navajo Wikipedia,Wikiibíídiiya Dinék'ehjí,Navajo,Latn,nv,17,Unknown date,
Northern Sámi Wikipedia,Davvisámegiel Wikipedia,Northern Sámi,Latn,se,17,"<span data-sort-value=""000000002004-07-20-0000"" style=""white-space:nowrap"">20 July 2004",
Bishnupriya Manipuri Wikipedia,"বিষ্ণুপ্রিয়া মণিপুরী উইকিপিডিয়া
(Bişnupriya mônipuri u'ikipiḍiẏā)",Bishnupriya Manipuri,Beng,bpy,16,"<span data-sort-value=""000000002006-11-01-0000"" style=""white-space:nowrap"">November 2006 (unknown day)",
Chavacano Wikipedia,Chavacano Wikipedia,Zamboanga Chavacano,Latn,cbk-zam,16,Unknown date,
Dzongkha Wikipedia,"རྫོང་ཁ་ཝེ་ཁེ་རིག་མཛོད
(Rdzong kha we khe rig mdzod)",Dzongkha,Tibt,dz,16,Unknown date,
Extremaduran Wikipedia,Güiquipeya en estremeñu,Extremaduran,Latn,ext,16,"<span data-sort-value=""000000002007-01-27-0000"" style=""white-space:nowrap"">27 January 2007",
Hakka Wikipedia,"Pha̍k-fa-sṳ: Hakkâpedia
or Hak-kâ-ngî Wikipedia",Hakka Chinese,Latn,hak,16,"<span data-sort-value=""000000002007-05-27-0000"" style=""white-space:nowrap"">27 May 2007",
Judaeo-Spanish Wikipedia,Vikipedya en lingua Judeo-Espanyola,Judaeo-Spanish,Latn,lad,16,Unknown date,
Kusaal Wikipedia,Wikipiidia Kʋsaal,Kusaal,Latn,kus,16,Unknown date,
Lojban Wikipedia,ni'o la .uikipedi'as. pe lo jbobau,Lojban,Latn,jbo,16,Unknown date,
Meadow Mari Wikipedia,"Олык Марий Википедий
(Olyk Marij Vikipedij)",Meadow Mari,Cyrl,mhr,16,"<span data-sort-value=""000000002009-07-09-0000"" style=""white-space:nowrap"">9 July 2009",
Novial Wikipedia,Wikipedie in novial,Novial,Latn,nov,16,Unknown date,
Pennsylvania Dutch Wikipedia,Pennsilfaanisch-Deitsche Wikipedelche,Pennsylvania Dutch,Latn,pdc,16,Unknown date,
Tuvan Wikipedia,"Тыва Википедия
(Tıwa Vikipediya)",Tuvan,Cyrl,tyv,16,"<span data-sort-value=""000000002013-08-11-0000"" style=""white-space:nowrap"">11 August 2013",
Aromanian Wikipedia,Wikipedia pri Armâneaști,Aromanian,Latn,roa-rup,15,"<span data-sort-value=""000000002004-01-01-0000"" style=""white-space:nowrap"">2004 (unknown date)",
Aymara Wikipedia,Aymar Wikipidiya,Aymara,Latn,ay,15,Unknown date,
Fon Wikipedia,Wikipedya ɖò Fɔngbemɛ,Fon,Latn,fon,15,"<span data-sort-value=""000000002023-10-03-0000"" style=""white-space:nowrap"">3 October 2023",
Manx Wikipedia,Wikipedia yn Gaelg,Manx,Latn,gv,15,"<span data-sort-value=""000000002003-09-01-0000"" style=""white-space:nowrap"">September 2003 (unknown day)",
Mirandese Wikipedia,Biquipédia an lhéngua mirandesa,Mirandese,Latn,mwl,15,"<span data-sort-value=""000000002009-08-12-0000"" style=""white-space:nowrap"">12 August 2009",
Moksha Wikipedia,"Мокшень Википедиесь
(Mokšenj Vikipedijesʹ)",Moksha,Cyrl,mdf,15,"<span data-sort-value=""000000002008-05-26-0000"" style=""white-space:nowrap"">26 May 2008",
Dagaare Wikipedia,Dagaare Wikipiideɛ,Dagaare,Latn,dga,14,Unknown date,
Inuktitut Wikipedia,"ᐃᓄᒃᑎᑐᑦ ᐊᕆᐅᙵᐃᐹ
(Uikipitia inuktitut)",Inuktitut,Cans,iu,14,Unknown date,
Lingala Wikipedia,Lingála Wikipedia,Lingala,Latn,ln,14,Unknown date,
Newar Wikipedia,"विकिपिडियाय् लसकुस
(Vikipiḍiyāya lasakūsa)",Newar,Deva,new,14,"<span data-sort-value=""000000002006-06-04-0000"" style=""white-space:nowrap"">4 June 2006",
Saraiki Wikipedia,"سرائیکی ویٖکیٖپیڈیا
(Sarā'īkī vikipīḍiyā)",Saraiki,Arab,skr,14,"<span data-sort-value=""000000002020-11-22-0000"" style=""white-space:nowrap"">22 November 2020",
Adyghe Wikipedia,"Адыгэ Википедие
(Adıgə Vikipedie)",Adyghe,Cyrl,ady,13,Unknown date,
Bislama Wikipedia,Wikipedia long Bislama,Bislama,Latn,bi,13,Unknown date,
Buryat Wikipedia,"Буряад Википеэди
(Buryaad Vikipjeedi)",Buryat (Russia Buriat),Cyrl,bxr,13,Unknown date,
Chamorro Wikipedia,Wikipedia Chamoru,Chamorro,Latn,ch,13,Unknown date,
Gagauz Wikipedia,Gagauzca Vikipediya,Gagauz,Latn,gag,13,Unknown date,
Gorontalo Wikipedia,Wikipedia bahasa Hulontalo,Gorontalo,Latn,gor,13,"<span data-sort-value=""000000002018-04-18-0000"" style=""white-space:nowrap"">18 April 2018",
Gurene Wikipedia,Gurenɛ Wikipedia,Farefare (Gurene),Latn,gur,13,Unknown date,
Ingush Wikipedia,"Гӏалгӏай Википеди
(Ghalghaj Vikipedi)",Ingush,Cyrl,inh,13,"<span data-sort-value=""000000002018-04-18-0000"" style=""white-space:nowrap"">18 April 2018",
Kalmyk Wikipedia,"Хальмг Бикипеди
(Haľmg Vikipedi)",Kalmyk Oirat,Cyrl,xal,13,"<span data-sort-value=""000000002006-03-24-0000"" style=""white-space:nowrap"">24 March 2006",
Komi Wikipedia,"Коми Википедия
(Komi Vikipedija)",Komi,Cyrl,kv,13,"<span data-sort-value=""000000002004-08-01-0000"" style=""white-space:nowrap"">August 2004 (unknown day)",
Madurese Wikipedia,Wikipèḍia bhâsa Madhurâ,Madurese,Latn,mad,13,Unknown date,
Mon Wikipedia,"ဝဳကဳပဳဒဳယာမန်
(Wīkīpīdīya mawn)",Mon,Mymr,mnw,13,"<span data-sort-value=""000000002019-11-04-0000"" style=""white-space:nowrap"">4 November 2019",
Norman Wikipedia,"Augeron, Cotentinais, Percheron [fr]:
Viqùipédie normaunde
Auregnais: Ouitchipédie Nourmaounde
Brayon [fr], Cauchois, Rouennais [fr]:
Viqùipédie normande
Guernésiais: Ouitchipédie normande
Jèrriais: Ouitchipédie Nouormande
Sercquiais: Witchipedi Normãdi",Norman,Latn,nrm,13,"<span data-sort-value=""000000002006-01-01-0000"" style=""white-space:nowrap"">2006 (unknown date)",
Tetum Wikipedia,Wikipédia iha lia-tetun,Tetum,Latn,tet,13,Unknown date,
Tigrinya Wikipedia,"ዊኪፐድያ ብትግርኛ
(Wikipädya bətəgrəñña)",Tigrinya,Ethi,ti,13,Unknown date,
Udmurt Wikipedia,"Удмурт Википедия
(Udmurt Vikipedija)",Udmurt,Cyrl,udm,13,"<span data-sort-value=""000000002005-10-24-0000"" style=""white-space:nowrap"">24 October 2005",
Wolof Wikipedia,Wikipedia Wolof,Wolof,Latn,wo,13,Unknown date,
Atayal Wikipedia,Wikibitia na Tayal,Atayal,Latn,tay,12,Unknown date,
Buginese Wikipedia,"ᨓᨗᨀᨗᨄᨙᨉᨗᨕ ᨅᨔ ᨕᨘᨁᨗ
(Wikipedia basa Ugi)",Buginese,Bugi,bug,12,Unknown date,
Dinka Wikipedia,Wikipedia Thuɔŋjäŋ,Dinka,Latn,din,12,Unknown date,
Greenlandic Wikipedia,Kalaallisut Wikipedia,Greenlandic,Latn,kl,12,Unknown date,
Jamaican Patois Wikipedia,Jumiekan Patwa Wikipidia,Jamaican Patois,Latn,jam,12,Unknown date,
Karachay-Balkar Wikipedia,"Къарачай-Малкъар Википедия
(Qaraçay-Malqar Wikipédiya)",Karachay-Balkar,Cyrl,krc,12,"<span data-sort-value=""000000002010-03-19-0000"" style=""white-space:nowrap"">19 March 2010",
Kashubian Wikipedia,Kaszëbskô Wikipedijô,Kashubian,Latn,csb,12,"<span data-sort-value=""000000002004-03-31-0000"" style=""white-space:nowrap"">31 March 2004",
Nahuatl Wikipedia,Huiquipedia nāhuatlahtōlcopa,Nahuatl,Latn,nah,12,"<span data-sort-value=""000000002003-08-01-0000"" style=""white-space:nowrap"">August 2003 (unknown day)",
Pa'O Wikipedia,"ပအိုဝ်ႏဝီခီပီးဒီးယား
(Pǎʼǒ wikhipi:di:ya)",Pa'O,Mymr,blk,12,Unknown date,
Seediq Wikipedia,Seediq Wikipidiya,Seediq,Latn,trv,12,Unknown date,
Shan Wikipedia,"ဝီႇၶီႇၽီးတီးယႃးတႆး
(Wiː-kʰiː-pʰiː-tiː-jaɑː- táy)",Shan,Mymr,shn,12,"<span data-sort-value=""000000002018-11-14-0000"" style=""white-space:nowrap"">14 November 2018",
Tsonga Wikipedia,Wikipediya Xitsonga,Tsonga,Latn,ts,12,Unknown date,
Aramaic Wikipedia,"ܘܝܩܝܦܕܝܐ ܠܫܢܐ ܣܘܪܝܝܐ
(Wīqīpedyāʾ leššānā suryāyā)",Aramaic (Syriac),Syrc,arc,11,Unknown date,
Cheyenne Wikipedia,Vekepete'a Tsėhésenėstsestȯtse,Cheyenne,Latn,chy,11,Unknown date,
Fante Wikipedia,Fante Wikipedia,Fante,Latn,fat,11,Unknown date,
Kabiye Wikipedia,Wikipediya kabɩyɛ,Kabiye,Latn,kbp,11,Unknown date,
Lezgian Wikipedia,"Лезги Википедия
(Lezgi Vikipediä)",Lezgian,Cyrl,lez,11,"<span data-sort-value=""000000002012-03-27-0000"" style=""white-space:nowrap"">27 March 2012",
Livvi-Karelian Wikipedia,Livvinkarjalan Wikipedii,Livvi-Karelian,Latn,olo,11,"<span data-sort-value=""000000002016-01-01-0000"" style=""white-space:nowrap"">2016 (unknown date)",
N'Ko Wikipedia,"ߥߞߌߔߘߋߞߎ ߒߞߏ
(Wkipdeku n'ko)",N'Ko,Nkoo,nqo,11,Unknown date,
Nias Wikipedia,Wikipedia Li Niha,Nias,Latn,nia,11,Unknown date,
Romani Wikipedia,Romani Vikipidiya,Romani (Vlax Romani),Latn,rmy,11,Unknown date,
Sakizaya Wikipedia,Wikipitiya nu Sakizaya,Sakizaya,Latn,szy,11,"<span data-sort-value=""000000002019-11-22-0000"" style=""white-space:nowrap"">22 November 2019",
Sango Wikipedia,Wïkïpêdïyäa na Sängö,Sango,Latn,sg,11,Unknown date,
Southern Altai Wikipedia,"Тӱштӱк алтай Википедия
(Tüštük altay Vikipediya)",Southern Altai,Cyrl,alt,11,"<span data-sort-value=""000000002021-02-22-0000"" style=""white-space:nowrap"">22 February 2021",
Tok Pisin Wikipedia,Wikipedia long Tok Pisin,Tok Pisin,Latn,tpi,11,Unknown date,
Venda Wikipedia,Wikipedia nga tshiVenḓa,Venda,Latn,ve,11,Unknown date,
Zhuang Wikipedia,Veizgiek Bakgoh Vahcuengh,Zhuang (Standard Zhuang),Latn,za,11,Unknown date,
Amis Wikipedia,Wikipitiya 'Amis,Amis,Latn,ami,10,Unknown date,
Angika Wikipedia,विकिपीडिया,Angika,Deva,anp,10,"<span data-sort-value=""000000002023-03-22-0000"" style=""white-space:nowrap"">22 March 2023",
Kabardian Wikipedia,"Адыгэбзэ Уикипедиэ
(Adıgəbzə Wikipediă)",Kabardian,Cyrl,kbd,10,Unknown date,
Kongo Wikipedia,Wikipedia kikôngo,Kongo,Latn,kg,10,Unknown date,
Luganda Wikipedia,Wikipediya Luganda,Luganda,Latn,lg,10,Unknown date,
Northern Sotho Wikipedia,Wikipedia Sesotho sa Leboa,Northern Sotho,Latn,nso,10,Unknown date,
Pali Wikipedia,"पालि विकिपीडिया
(Pāli vikipīḍiyā)",Pali,Deva,pi,10,Unknown date,
Ripuarian Wikipedia,Wikkipedija en Ripoarisch Platt,Ripuarian,Latn,ksh,10,"<span data-sort-value=""000000002005-07-06-0000"" style=""white-space:nowrap"">6 July 2005",
Samoan Wikipedia,Wikipedia gagana Sāmoa,Samoan,Latn,sm,10,Unknown date,
Atikamekw Wikipedia,Atikamekw Wikipetcia,Atikamekw,Latn,atj,9,Unknown date,
Bambara Wikipedia,Wikipedi Bamanankan,Bambara,Latn,bm,9,Unknown date,
Inari Sámi Wikipedia,Anarâškielâlâš Wikipedia,Inari Sámi,Latn,smn,9,"<span data-sort-value=""000000002020-10-19-0000"" style=""white-space:nowrap"">19 October 2020",
Kikuyu Wikipedia,Wikipedia Gĩgĩkũyũ,Kikuyu,Latn,ki,9,Unknown date,
Paiwan Wikipedia,wikipidiya nua pinayuanan,Paiwan,Latn,pwn,9,Unknown date,
Palatine German Wikipedia,Pälzisch Wikipedia,Palatine German,Latn,pfl,9,Unknown date,
Fijian Wikipedia,Vaka-Viti Wikipedia,Fijian,Latn,fj,8,Unknown date,
Iñupiaq Wikipedia,Uiqipitia Iñupiatun,Iñupiaq,Latn,ik,8,Unknown date,
Kirundi Wikipedia,Wikipediya mu Ikirundi,Kirundi,Latn,rn,8,Unknown date,
Konkani Wikipedia,"कोंकणी विकिपीडिया
(Konknni Wikipidia)
(ಕೊಂಕ್ಣಿ ವಿಕಿಪೀಡಿಯಾ)",Konkani (Goan Konkani),Deva/Latn/Knda,gom,8,"<span data-sort-value=""000000002015-07-01-0000"" style=""white-space:nowrap"">July 2015 (unknown day)",
Saterland Frisian Wikipedia,Seelterfräiske Wikipedia,Saterland Frisian,Latn,stq,8,Unknown date,
Sranan Tongo Wikipedia,Sranan Wikipedia,Sranan Tongo,Latn,srn,8,Unknown date,
Tarantino Wikipedia,Uicchipèdie tarandíne,Tarantino,Latn,roa-tara,8,Unknown date,
Toba Batak Wikipedia,Wikipedia Batak Toba,Toba Batak,Latn,bbc,8,Unknown date,
Chewa Wikipedia,Wikipedia Chichewa,Chewa,Latn,ny,7,Unknown date,
Doteli Wikipedia,"डोटेली विकिपिडिया
(Ḍōṭēlī vikipiḍiyā)",Doteli,Deva,dty,7,Unknown date,
Guianan Creole Wikipedia,Wikipédja an kriyòl gwiyannen,French Guianese Creole,Latn,gcr,7,"<span data-sort-value=""000000002019-11-22-0000"" style=""white-space:nowrap"">22 November 2019",
Hill Mari Wikipedia,"Кырык марла Википеди
(Kyryk marla Vikipedi)",Hill Mari,Cyrl,mrj,7,"<span data-sort-value=""000000002010-10-17-0000"" style=""white-space:nowrap"">17 October 2010",
Komi-Permyak Wikipedia,"Перем коми Википедия
(Perem komi Vikipedija)",Komi-Permyak,Cyrl,koi,7,"<span data-sort-value=""000000002010-10-19-0000"" style=""white-space:nowrap"">19 October 2010",
Norfuk Wikipedia,Norfuk Wikkapedya,Norfuk,Latn,pih,7,Unknown date,
Pangasinan Wikipedia,Wikipedia Pangasinan,Pangasinan,Latn,pag,7,Unknown date,
Pontic Wikipedia,"Ποντιακόν Βικιπαίδεια
(Pontiakón Bikipaídeia)",Pontic Greek,Grek,pnt,7,"<span data-sort-value=""000000002009-03-05-0000"" style=""white-space:nowrap"">5 March 2009",
Lak Wikipedia,"Лакку мазрал Википедия
(Lak:u mazral Vikipediaˤ)",Lak,Cyrl,lbe,6,Unknown date,
Tongan Wikipedia,Wikipedia ʻi lea fakatonga,Tongan,Latn,to,6,"<span data-sort-value=""000000002004-01-01-0000"" style=""white-space:nowrap"">January 2004 (unknown day)",
